Movie,Director,Cast
The Godfather,Francis Ford Coppola,Abe Vigoda
The Godfather,Francis Ford Coppola,Al Lettieri
The Godfather,Francis Ford Coppola,Diane Keaton
The Godfather,Francis Ford Coppola,Gianni Russo
The Godfather,Francis Ford Coppola,James Caan
The Godfather,Francis Ford Coppola,John Cazale
The Godfather,Francis Ford Coppola,John Marley
The Godfather,Francis Ford Coppola,Richard Conte
The Godfather,Francis Ford Coppola,Richard S. Castellano
The Godfather,Francis Ford Coppola,Robert Duvall
The Godfather,Francis Ford Coppola,Rudy Bond
The Godfather,Francis Ford Coppola,Sterling Hayden
The Godfather,Francis Ford Coppola,Talia Shire
The Godfather,Francis Ford Coppola,Al Pacino
The Godfather,Francis Ford Coppola,Marlon Brando
Citizen Kane,Orson Welles,Agnes Moorehead
Citizen Kane,Orson Welles,Dorothy Comingore
Citizen Kane,Orson Welles,Erskine Sanford
Citizen Kane,Orson Welles,Everett Sloane
Citizen Kane,Orson Welles,Fortunio Bonanova
Citizen Kane,Orson Welles,George Coulouris
Citizen Kane,Orson Welles,Georgia Backus
Citizen Kane,Orson Welles,Gus Schilling
Citizen Kane,Orson Welles,Harry Shannon
Citizen Kane,Orson Welles,Paul Stewart
Citizen Kane,Orson Welles,Philip Van Zandt
Citizen Kane,Orson Welles,Ray Collins
Citizen Kane,Orson Welles,Ruth Warrick
Citizen Kane,Orson Welles,William Alland
Citizen Kane,Orson Welles,Joseph Cotten
Citizen Kane,Orson Welles,Orson Welles
Rear Window,Alfred Hitchcock,Havis Davenport
Rear Window,Alfred Hitchcock,Irene Winston
Rear Window,Alfred Hitchcock,Jerry Antes
Rear Window,Alfred Hitchcock,Jesslyn Fax
Rear Window,Alfred Hitchcock,Rand Harper
Rear Window,Alfred Hitchcock,Frank Cady
Rear Window,Alfred Hitchcock,Georgine Darcy
Rear Window,Alfred Hitchcock,Grace Kelly
Rear Window,Alfred Hitchcock,James Stewart
Rear Window,Alfred Hitchcock,Judith Evelyn
Rear Window,Alfred Hitchcock,Raymond Burr
Rear Window,Alfred Hitchcock,Ross Bagdasarian
Rear Window,Alfred Hitchcock,Sara Berner
Rear Window,Alfred Hitchcock,Thelma Ritter
Rear Window,Alfred Hitchcock,Wendell Corey
Casablanca,Michael Curtiz,Claude Rains
Casablanca,Michael Curtiz,Conrad Veidt
Casablanca,Michael Curtiz,Curt Bois
Casablanca,Michael Curtiz,Dooley Wilson
Casablanca,Michael Curtiz,Enrique Acosta
Casablanca,Michael Curtiz,John Qualen
Casablanca,Michael Curtiz,Joy Page
Casablanca,Michael Curtiz,Leonid Kinskey
Casablanca,Michael Curtiz,Madeleine Lebeau
Casablanca,Michael Curtiz,Paul Henreid
Casablanca,Michael Curtiz,Peter Lorre
Casablanca,Michael Curtiz,S.Z. Sakall
Casablanca,Michael Curtiz,Sydney Greenstreet
Casablanca,Michael Curtiz,Humphrey Bogart
Casablanca,Michael Curtiz,Ingrid Bergman
Boyhood,Richard Linklater,Alyssa Petersen
Boyhood,Richard Linklater,Andrea Chen
Boyhood,Richard Linklater,Andrew Villarreal
Boyhood,Richard Linklater,Angela Rawna
Boyhood,Richard Linklater,Bonnie Cross
Boyhood,Richard Linklater,Brad Hawkins
Boyhood,Richard Linklater,Cassidy Johnson
Boyhood,Richard Linklater,David Blackwell
Boyhood,Richard Linklater,Deanna Brochin
Boyhood,Richard Linklater,Derek Chase Hickey
Boyhood,Richard Linklater,Elijah Smith
Boyhood,Richard Linklater,Ethan Hawke
Boyhood,Richard Linklater,Evie Thompson
Boyhood,Richard Linklater,Greg Baglia
Boyhood,Richard Linklater,Jamie Howard
Boyhood,Richard Linklater,Jonathan Bell
Boyhood,Richard Linklater,Jordan Howard
Boyhood,Richard Linklater,Libby Villari
Boyhood,Richard Linklater,Lorelei Linklater
Boyhood,Richard Linklater,Marco Perella
Boyhood,Richard Linklater,Mark Finn
Boyhood,Richard Linklater,Megan Devine
Boyhood,Richard Linklater,Mona Lee Fultz
Boyhood,Richard Linklater,Natalie Wilemon
Boyhood,Richard Linklater,Nick Krause
Boyhood,Richard Linklater,Patricia Arquette
Boyhood,Richard Linklater,Ryan Power
Boyhood,Richard Linklater,Sam Dillon
Boyhood,Richard Linklater,Savannah Welch
Boyhood,Richard Linklater,Shane Graham
Boyhood,Richard Linklater,Sharee Fowler
Boyhood,Richard Linklater,Steven Chester Prince
Boyhood,Richard Linklater,Sydney Orta
Boyhood,Richard Linklater,Tamara Jolaine
Boyhood,Richard Linklater,Tess Allen
Boyhood,Richard Linklater,Zoe Graham
Boyhood,Richard Linklater,Bonnie Cross
Boyhood,Richard Linklater,Elijah Smith
Boyhood,Richard Linklater,Ellar Coltrane
Boyhood,Richard Linklater,Ethan Hawke
